[2026-06-22 16:34:53,680] INFO d=128 round= 5 | acc=98.57% det=0.0% tp=0 fn=2 proving=63.1ms proof=12.28KB
wandb: WARNING Tried to log to step 5 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:35:23,237] INFO d=128 round= 6 | acc=98.70% det=0.0% tp=0 fn=2 proving=66.4ms proof=12.28KB
wandb: WARNING Tried to log to step 6 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:35:52,569] INFO d=128 round= 7 | acc=98.81% det=0.0% tp=0 fn=2 proving=62.0ms proof=12.28KB
wandb: WARNING Tried to log to step 7 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:36:21,645] INFO d=128 round= 8 | acc=98.91% det=0.0% tp=0 fn=2 proving=61.4ms proof=12.28KB
wandb: WARNING Tried to log to step 8 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:36:51,299] INFO d=128 round= 9 | acc=98.88% det=0.0% tp=0 fn=2 proving=66.4ms proof=12.28KB
wandb: WARNING Tried to log to step 9 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:37:20,992] INFO d=128 round=10 | acc=99.02% det=0.0% tp=0 fn=2 proving=65.6ms proof=12.28KB
wandb: WARNING Tried to log to step 10 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:37:50,069] INFO d=128 round=11 | acc=99.05% det=0.0% tp=0 fn=2 proving=63.7ms proof=12.28KB
wandb: WARNING Tried to log to step 11 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:38:19,473] INFO d=128 round=12 | acc=99.06% det=0.0% tp=0 fn=2 proving=59.3ms proof=12.28KB
wandb: WARNING Tried to log to step 12 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:38:48,843] INFO d=128 round=13 | acc=99.12% det=0.0% tp=0 fn=2 proving=63.7ms proof=12.28KB
wandb: WARNING Tried to log to step 13 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
